transactionHash,address,totalFee,lpFee,pcstFee,cakeFee,swapFrom,swapTo,swapAmountFrom,swapAmountTo,totalFeeFormatted,efxFeesFormatted,wbnbFeesFormatted
0x963972fd1b22af7d32fb73083a2550bde6facabc863afd3aae6170c24b73648e,0x10ED43C718714eb63d5aA57B78B54704E256024E,3942288656934731300,2680756286715617000,473074638832167700,788457731386946300,EFX,WBNB,1576915462773892345710,269298757685748134,3.9422886569347313,3.9422886569347313,
0xf4f6364be40d8720c9c656097653a5a78b21e3c9fbdd1f4fd4369ca0b1395483,0x10ED43C718714eb63d5aA57B78B54704E256024E,326774936374940.7,222206956734959.66,39212992364992.875,65354987274988.14,WBNB,EFX,130709974549976275,761902230392803878745,0.032677493637493987,,0.032677493637493987
0x272b92fa99ff05d816de788f13b2aea9001950b8724350e78f45d459eff938fe,0x10ED43C718714eb63d5aA57B78B54704E256024E,331568713119595.5,225466724921324.9,39788245574351.45,66313742623919.09,WBNB,EFX,132627485247838197,772440034580344216689,0.033156871311959485,,0.033156871311959485
0xc04256910535ab4729826f3d275acbd0ce12835b7649b40c712db1b576cc7bdd,0x10ED43C718714eb63d5aA57B78B54704E256024E,750000000000000,510000000000000,89999999999999.98,150000000000000,WBNB,EFX,300000000000000000,1744869428196080867973,0.00075,,0.00075
0xea459e171eb96f9cee5ec7b9e96372ce7316a870d5e7b9905ce04c5abae6f10f,0x10ED43C718714eb63d5aA57B78B54704E256024E,339664486482021.9,230971850807774.88,40759738377842.625,67932897296404.375,WBNB,EFX,135865794592808758,789146293929512528038,0.033966448648202089,,0.033966448648202089
0x625f031a30f19b7bf8e02ec5bebf055f6ea318a0ddd6f7ca0e9c6994be0ede3d,0x00000000f7B7d8A2974a129CbADd9F2F99C1fF80,46619293017702400,31701119252037630,5594315162124288,9323858603540480,WBNB,EFX,18647717207080960000,102290748726989463541026,0.0466192930177024,,0.0466192930177024
0x9b5840450ecba91cea8831188c6649117442c7ce5067768d4b7de3126c79dd9d,0x10ED43C718714eb63d5aA57B78B54704E256024E,4884758413417094,3321635721123623.5,586171009610051.2,976951682683418.8,WBNB,EFX,1953903365366837470,10066971872429357430809,0.004884758413417094,,0.004884758413417094
0x8cd3f22043dedd3f4811636b8e1ffcef59b0489a8ee913be6500d303fd60e110,0x00000000f7B7d8A2974a129CbADd9F2F99C1fF80,255726871817473700000,173894272835882100000,30687224618096837000,51145374363494736000,EFX,WBNB,102290748726989463541026,18769228611710659701,255.7268718174737,255.7268718174737,
0xc0329c4a070f0169d14a4447024e54797950caabd0514bb79ce3a2669b744286,0x10ED43C718714eb63d5aA57B78B54704E256024E,65388784286507.84,44464373314825.33,7846654114380.94,13077756857301.568,WBNB,EFX,26155513714603137,150152837574714170651,0.065388784286506884,,0.065388784286506884
0x51b0a6d92363ad16fe21c37ed655dd465bd68e35ef273d882a46ad0eefb5e2e2,0x10ED43C718714eb63d5aA57B78B54704E256024E,250000000000000000,170000000000000000,29999999999999996,50000000000000000,EFX,WBNB,100000000000000000000,17332750316102617,0.25,0.25,
0x253b9a54ac40fed0a08e8093f95547628033b0a0a6d3ed57be2e7f2996ac0c4e,0x10ED43C718714eb63d5aA57B78B54704E256024E,25000000000000000000,17000000000000000000,2999999999999999500,5000000000000000000,EFX,WBNB,10000000000000000000000,1723853980934645142,25,25,
0xa8df3c5389420a9759207696aa01cde486a38c6dc19cce867fc9bc8fefcfab01,0x10ED43C718714eb63d5aA57B78B54704E256024E,294067254769258.56,199965733243095.8,35288070572311.02,58813450953851.71,WBNB,EFX,117626901907703422,682372300750547425441,0.294067254769257856,,0.294067254769257856
0x856720f4845a2b35d5424b34f163431614d5dd3951383a38117751fda3190c78,0x10ED43C718714eb63d5aA57B78B54704E256024E,1750000000000000000,1190000000000000000,209999999999999970,350000000000000000,EFX,WBNB,700000000000000000000,120062062196937431,1.75,1.75,
0xed1750858d175aa213004b3bfc74f313ebe5dc2a1295496726adfcab4bfaad9c,0x10ED43C718714eb63d5aA57B78B54704E256024E,100000000000000,68000000000000,11999999999999.998,20000000000000,WBNB,EFX,40000000000000000,232106708897926637237,0.0001,,0.0001
0xf202f0e0790f21bdb2b81b84cfe5cdc763874a6d99fc5e0ee683928a8023e438,0x10ED43C718714eb63d5aA57B78B54704E256024E,143093140709279.94,97303335682310.36,17171176885113.592,28618628141855.99,WBNB,EFX,57237256283711976,332027595219272049665,0.143093140709278894,,0.143093140709278894
0x3e06d9810044868c1086317fe7864315d915dfbdc3e78f46d2e7bbb462324b8e,0x10ED43C718714eb63d5aA57B78B54704E256024E,324574882238284.5,220710919922033.47,38948985868594.14,64914976447656.91,WBNB,EFX,129829952895313804,752689449015387705992,0.032457488223828385,,0.032457488223828385
0x470e68923170b499391183cb8d8d1de5f896d3319cfa788621d6481dc5ead64e,0x10ED43C718714eb63d5aA57B78B54704E256024E,900000000000000,612000000000000,107999999999999.98,180000000000000,WBNB,EFX,360000000000000000,2083903859450032818337,0.0009,,0.0009
0x75f5b91eb0cdb5ac1d7d9b41d0fdab78d7f55be9abff2868d1ca8b7311a391ee,0x10ED43C718714eb63d5aA57B78B54704E256024E,4023130858682.9575,2735728983904.411,482775703041.95483,804626171736.5916,WBNB,EFX,1609252343473183,9304800189802480419,0.402313085868189575,,0.402313085868189575
0xc26d357a44283565b7a106d6935ba9676f1801ad5acf328a677c753a547908c3,0x10ED43C718714eb63d5aA57B78B54704E256024E,4522088828692.08,3075020403510.6143,542650659443.04956,904417765738.416,WBNB,EFX,1808835531476832,10458691125478451690,0.004522088828691808,,0.004522088828691808
0xbe5a073885d51ff7850cc416636496dd398f7c68ff849847589e1945e39a2d07,0x10ED43C718714eb63d5aA57B78B54704E256024E,14573125936783160000,9909725637012548000,1748775112413979000,2914625187356631600,EFX,WBNB,5829250374713263762969,1000000000000000000,14.57312593678316,14.57312593678316,
0x222a42a01e08476997f007a673cd7f905ee449461c2e201234c7c9ba3f8537f1,0x10ED43C718714eb63d5aA57B78B54704E256024E,20192685045634613000,13731025831031538000,2423122205476153300,4038537009126923000,EFX,WBNB,8077074018253845455235,1375289325888023373,20.192685045634613,20.192685045634613,
0x4eefdad190e1e28555e96122e253b1eaf719427e833cb387724a964214d65546,0x10ED43C718714eb63d5aA57B78B54704E256024E,4999249291417.168,3399489518163.674,599909914970.06,999849858283.4335,WBNB,EFX,1999699716566867,11736367588615110265,0.049992492914168168,,0.049992492914168168
0xc5639009d183879fe883e88b870006f4c1912663cae90a47f8d24be9ad269a9b,0x10ED43C718714eb63d5aA57B78B54704E256024E,51565502278862630000,35064541549626580000,6187860273463514000,10313100455772525000,EFX,WBNB,20626200911545051127961,3458690554719925007,51.56550227886263,51.56550227886263,
0x398968410922ee4bc2036e1edfa28dbb3db576626867b9fa867824b6f28f5876,0x10ED43C718714eb63d5aA57B78B54704E256024E,1862173570490202000,1266278027933337300,223460828458824260,372434714098040450,EFX,WBNB,744869428196080867973,123487326566308141,1.862173570490202,1.862173570490202,
0x28fb3dcc1e0124ee6a7e99aa18eb3624cc9117c38229287c365792e047c251fe,0x10ED43C718714eb63d5aA57B78B54704E256024E,280076467844852.66,190451998134499.78,33609176141382.312,56015293568970.53,WBNB,EFX,112030587137941050,672414201888661334758,0.280076467844851866,,0.280076467844851866
0x9b97ccceab5f7fcf1cd2a4810d314b89a67c4aa0cc3cb0d2e8f9b994f638d230,0x10ED43C718714eb63d5aA57B78B54704E256024E,18013649772920541000,12249281845585967000,2161637972750464800,3602729954584108000,EFX,WBNB,7205459909168215903314,1190390829589697582,18.013649772920541,18.013649772920541,
0x67040b04fa16e03f069eb54c0a2cc1d68436b423f8e77a32b2c94eea52ca4fb8,0x10ED43C718714eb63d5aA57B78B54704E256024E,326671828476275800000,222136843363867530000,39200619417153090000,65334365695255160000,EFX,WBNB,130668731390510324997314,20119124571795223369,326.6718284762758,326.6718284762758,
0x1b56538c44984ec38545d6d245e5fa8a782c17f9731e416edee6d1d7253a160d,0x10ED43C718714eb63d5aA57B78B54704E256024E,100000000000000000000,68000000000000000000,11999999999999998000,20000000000000000000,EFX,WBNB,40000000000000000000000,5649503285196437017,100,100,
0xb9f49cadea51b18ead9f5d8ff044e2c2eb551035a0a9dbf69fef1ef2fc1c49cf,0x10ED43C718714eb63d5aA57B78B54704E256024E,101969852750000000000,69339499870000000000,12236382330000000000,20393970550000000000,EFX,WBNB,40787941100000000000000,5539803673498470882,101.96985275,101.96985275,
0xb03069659fd2d2e3bfae714b7babc0a2d78e4df01a5cf9e3a7ffda87870210ae,0x10ED43C718714eb63d5aA57B78B54704E256024E,225331979457181.25,153225746030883.25,27039837534861.746,45066395891436.25,WBNB,EFX,90132791782872495,673148816496968120215,0.225331979457180825,,0.225331979457180825
0x046b760c724cac010d7dbec918b13ef9f4f71668d0a8bcc09da6d576201cb249,0x10ED43C718714eb63d5aA57B78B54704E256024E,543519078193694.9,369592973171712.5,65222289383243.38,108703815638738.98,WBNB,EFX,217407631277477963,1621916855772802018687,0.054351907819369389,,0.054351907819369389
0x4294e6b0c73ecc50718746df9878d3b983a8082ea99835142e267ef8680a2cf2,0x10ED43C718714eb63d5aA57B78B54704E256024E,4290885023481.5425,2917801815967.4487,514906202817.78503,858177004696.3085,WBNB,EFX,1716354009392617,12794463518616522066,0.429088502348085425,,0.429088502348085425
0x46697b2f621b6fabdf170802065338e2a3e954afc1d99c5668b230d484789f20,0x10ED43C718714eb63d5aA57B78B54704E256024E,2612371440607.7427,1776412579613.265,313484572872.9291,522474288121.5485,WBNB,EFX,1044948576243097,7789433407623893566,0.261237144060687427,,0.261237144060687427
0xd349c0189eee988387b625c55b84ec31f5012cc4f6580b8ad1bf8955f0f6b390,0x10ED43C718714eb63d5aA57B78B54704E256024E,43471000000000,29560280000000,5216520000000,8694200000000,WBNB,EFX,17388400000000000,129611091407088234410,0.000043471,,0.000043471
0xd8b514131204deef1c4bf34ac2f01e8cb4a614932a4708cc082f4f250bb4bb2f,0x10ED43C718714eb63d5aA57B78B54704E256024E,1705930751876368600,1160032911275930600,204711690225164220,341186150375273700,EFX,WBNB,682372300750547425441,91064862234907426,1.7059307518763686,1.7059307518763686,
0xeaeb8a8813de0d35e9b776a1fbc420d0c061d160bcb9fd66cf7d9ab33bf48ba4,0x10ED43C718714eb63d5aA57B78B54704E256024E,125000000000000,85000000000000,14999999999999.998,25000000000000,WBNB,EFX,50000000000000000,372846734484296121531,0.000125,,0.000125
0x79099ad8dbc3ca08b22611aa6513fdd06392c3ed7bc1cc6ccd77345638f994e7,0x10ED43C718714eb63d5aA57B78B54704E256024E,917905160066152.1,624175508844983.4,110148619207938.25,183581032013230.44,WBNB,EFX,367162064026460872,2733855192801138107444,0.091790516006615181,,0.091790516006615181
0x33c8c14b83e7507bd1f8df0244b890fca63f60674eb411fbdc085bbe4ce99556,0x10ED43C718714eb63d5aA57B78B54704E256024E,147014976629675400000,99970184108179260000,17641797195561046000,29402995325935080000,EFX,WBNB,58805990651870160619923,7654623629674078886,147.0149766296754,147.0149766296754,
0x922e1c5ba85cdc56605adf2cbcdb6769b587931b17ba87a82c9d121aa59cf4e9,0x10ED43C718714eb63d5aA57B78B54704E256024E,239141432219024.3,162616173908936.53,28696971866282.914,47828286443804.87,WBNB,EFX,95656572887609731,751431327655564345293,0.023914143221902383,,0.023914143221902383
0xb62ff597a9a22e2dd88cad3f34b8de56396d985e59a1e6e8a4e9bdad59134ea8,0x10ED43C718714eb63d5aA57B78B54704E256024E,6834637982002845000,4647553827761934000,820156557840341200,1366927596400569000,EFX,WBNB,2733855192801138107444,345963038065698944,6.834637982002845,6.834637982002845,
