transactionHash,address,totalFee,lpFee,pcstFee,cakeFee,swapFrom,swapTo,swapAmountFrom,swapAmountTo,totalFeeFormatted,lpFeeFormatted,efxFeesFormatted,wbnbFeesFormatted,inOutEfx,inOutWbnb,totalEfxOnlyFee,totalWbnbOnlyFee,onlyWbnb,onlyEfx
0x03c234137b56ed56816ad1a6eb0233c46265be728dea5244bb6338531acfd246,0x10ED43C718714eb63d5aA57B78B54704E256024E,50000000000000000000,2028238006159138026371062903,6000000000000000000,10000000000000000000,EFX,WBNB,20000000000000000000000,1129500036904851570,0,0,50000000000000000000,0,0,0,34000000000000000000,1920150062738247,1129500036904851570,20000000000000000000000
0x902d9cfdad320f5520791748eed3f5082bc8a15502e97e5989bb97159a32186b,0x10ED43C718714eb63d5aA57B78B54704E256024E,175000000000000,513781832983976337775,21000000000000,35000000000000,WBNB,EFX,70000000000000000,1240369360141461415710,0,0,0,175000000000000,0,0,2108627912240484406,119000000000000,70000000000000000,1240369360141461415710
0x840da5c6ae4df66e77fef3a4b412ca442d11e6834f06792f7d02468dcbae3fbe,0x10ED43C718714eb63d5aA57B78B54704E256024E,3100923400353653539,298713923935446928290,372110808042438424,620184680070730707,EFX,WBNB,1240369360141461415710,69650568910027055,0,0,3100923400353653539,0,0,0,2108627912240484406,118405967147045,69650568910027055,1240369360141461415710
0x4e292c8bdff02709e40b4eec35959748c023c64356e17c95e232d3c62997cd92,0x10ED43C718714eb63d5aA57B78B54704E256024E,1833973645952984109,386589558900677359915,220076837514358093,366794729190596821,EFX,WBNB,733589458381193643941,41168635210983723,0,0,1833973645952984109,0,0,0,1247102079248029194,69986679858672,41168635210983723,733589458381193643941
0x503a5cbaccfdcb6ab3636dd58a2fe524b6e531a91a1b0912daf8904e017a9b47,0x10ED43C718714eb63d5aA57B78B54704E256024E,20288343314018503418,31989376772241566492682,2434601197682220410,4057668662803700683,EFX,WBNB,8115337325607401367362,454209849063793750,0,0,20288343314018503418,0,0,0,13796073453532582324,772156743408449,454209849063793750,8115337325607401367362
0x5d250efcf7db0c9d8809aa03547dea0d294a558ab964aab6d8d8b23f4ea43cc2,0x10ED43C718714eb63d5aA57B78B54704E256024E,2822701060494235,32882587008620116610380,338724127259308,564540212098847,WBNB,EFX,1129080424197694073,20000000000000000000000,0,0,0,2822701060494235,0,0,34000000000000000000,1919436721136079,1129080424197694073,20000000000000000000000
0x5439a9f80fa37865314ae9d36c563f2049d2e8b987bb1486e17be0190648452e,0x10ED43C718714eb63d5aA57B78B54704E256024E,5000000000000000000,166993970983976337775,600000000000000000,1000000000000000000,EFX,WBNB,2000000000000000000000,112962224831633251,0,0,5000000000000000000,0,0,0,3400000000000000000,192035782213776,112962224831633251,2000000000000000000000
0x8e752cf368b7a0f1a7a3476045fee0913d110c8a39c8ed221b58a096dcc124e2,0x10ED43C718714eb63d5aA57B78B54704E256024E,2853890154080833,513596025162889291175,342466818489699,570778030816166,WBNB,EFX,1141556061632333328,20000000000000000000000,0,0,0,2853890154080833,0,0,34000000000000000000,1940645304774966,1141556061632333328,20000000000000000000000
0x5778c19b3b6642ab1247a4159a3c95e77d04dc2ba32479ffc6f1b656d92514a0,0x10ED43C718714eb63d5aA57B78B54704E256024E,1440130376450227,32882682903722761902760,172815645174027,288026075290045,WBNB,EFX,576052150580090958,10000000000000000000000,0,0,0,1440130376450227,0,0,17000000000000000000,979288655986154,576052150580090958,10000000000000000000000
0x3f9903b4d32c02c09ef19b8c27721cbbb49e968c0ac0b64fdf21b68ff6fe81bb,0x10ED43C718714eb63d5aA57B78B54704E256024E,1158505697122048,32882702437210520105274,139020683654645,231701139424409,WBNB,EFX,463402278848819254,8000000000000000000000,0,0,0,1158505697122048,0,0,13600000000000000000,787783874042992,463402278848819254,8000000000000000000000
0xec744859b7a800b5ce401413bcdc89d6507d23385ce421fa71e9285a985ee77d,0x10ED43C718714eb63d5aA57B78B54704E256024E,4395786893247703,513489079205060677073,527494427189724,879157378649540,WBNB,EFX,1758314757299081321,30000000000000000000000,0,0,0,4395786893247703,0,0,51000000000000000000,2989135087408438,1758314757299081321,30000000000000000000000
0xb84a45eaebdc921510e3b157a62834b8155b9279fb17570e3cf5e99a96ea4cb7,0x10ED43C718714eb63d5aA57B78B54704E256024E,1483492303948323,32882679896139470634784,178019076473798,296698460789664,WBNB,EFX,593396921579329576,9999350000000000000000,0,0,0,1483492303948323,0,0,16998895000000000000,1008774766684860,593396921579329576,9999350000000000000000
